model,term,estimate,std.error,statistic,p.value,model_family,specification,specification_label,n_used
eq4_upward_lowparent_lpm_extended,parent_ed_level::lower_secondary,0.56275694777286,0.03678564701118969,15.2982751017449,1.082540316385615e-9,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1567
eq4_upward_lowparent_lpm_extended,urban,-0.009863902556799461,0.030407888199028933,-0.32438630700814214,0.75080595308324,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1567
eq4_upward_lowparent_lpm_extended,female,-0.05467513538051995,0.02208099303523053,-2.476117595494234,0.027812596442437786,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1567
eq4_upward_lowparent_lpm_extended,migration_exposure,-0.020616576950007633,0.0261733296619214,-0.7876940846392166,0.4450009858181534,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1567
eq4_upward_lowparent_lpm_extended,multigenerational_hh,0.0034022406144977035,0.02007089140317016,0.16951118643192528,0.8680039147033264,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1567
eq5_persistence_heterogeneity_extended,parent_ed_score,0.08283525965241778,0.01315311841260657,6.2977658266213545,2.7543247446876266e-5,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,urban,-0.08932133626871012,0.10245604319819164,-0.8718015402559158,0.39913170811592946,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,female,0.16387604441918271,0.06142269440247095,2.6680048150507414,0.019337642792938044,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,migration_exposure,0.05755322869051629,0.03756455371770724,1.5321153319967902,0.1494614759538712,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,multigenerational_hh,-0.008823375307404796,0.01963344683583933,-0.44940531233152653,0.6605405158872597,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,parent_ed_score:urban,0.02266256232772383,0.020100230719802423,1.1274777212082965,0.27992099443647517,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,parent_ed_score:female,-0.027536847125642163,0.01273869481897545,-2.1616694266529968,0.04988121977880229,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
eq5_persistence_heterogeneity_extended,parent_ed_score:wave2022,0.16076289999517732,0.04009464368422132,4.009585451396424,0.0014850389255559155,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2756
